id_frame;id_object;x_coord;y_coord;width;height;obj_class;obj_proba(%)
255;0;0;369;36;170;photocopier;13
256;0;0;373;34;164;can_opener;14
257;0;0;380;31;155;can_opener;30
258;0;0;380;27;153;can_opener;40
259;0;0;385;23;146;screen;21
272;0;752;222;43;41;thresher;32
297;0;756;221;40;39;cassette;14
298;0;758;223;38;37;hand-held_computer;13
303;0;758;223;40;38;thresher;28
305;0;762;224;35;38;hand-held_computer;24
308;0;762;225;24;37;thresher;66
310;0;761;225;38;37;thresher;34
312;0;761;226;26;37;thresher;83
313;0;761;225;38;36;thresher;37
315;0;762;230;22;35;thresher;22
318;0;762;225;32;38;thresher;54
319;0;764;225;23;36;thresher;13
320;0;764;224;30;39;thresher;23
321;0;764;225;24;38;thresher;11
322;0;764;224;36;42;thresher;94
323;0;765;224;27;40;thresher;79
324;0;765;223;36;41;thresher;95
325;0;766;224;28;40;thresher;76
326;0;766;225;28;39;thresher;88
327;0;767;225;27;40;thresher;70
329;0;767;231;28;34;thresher;30
331;0;768;229;30;36;thresher;13
332;0;769;230;26;35;muzzle;31
333;0;768;227;29;38;thresher;11
335;0;769;225;43;40;thresher;25
337;0;771;227;27;40;thresher;52
338;0;771;229;27;37;thresher;60
339;0;772;227;27;40;thresher;67
342;0;773;228;26;39;thresher;39
343;0;773;228;22;39;thresher;49
344;0;0;695;31;25;digital_clock;40
344;1;774;232;23;35;thresher;46
345;0;0;691;30;29;digital_clock;25
345;1;774;228;24;38;thresher;27
346;0;775;227;47;40;thresher;32
347;0;0;687;28;33;vine_snake;52
347;1;774;226;61;49;thresher;95
348;0;800;229;34;42;thresher;38
348;1;776;229;20;38;thresher;24
350;0;798;229;38;42;thresher;32
350;1;776;228;23;39;can_opener;26
351;0;778;228;49;40;power_drill;22
352;0;799;228;26;29;screen;16
353;0;778;227;48;40;power_drill;25
354;0;799;228;30;32;safe;17
355;0;780;229;49;40;power_drill;48
357;0;798;227;33;40;lighter;12
358;0;799;229;33;32;safe;17
359;0;782;229;51;39;power_drill;16
360;0;797;228;35;39;hand-held_computer;13
361;0;798;228;36;41;whistle;14
362;0;798;229;36;38;whistle;15
363;0;798;229;36;40;power_drill;31
364;0;797;229;38;40;whistle;18
365;0;798;229;37;40;whistle;20
367;0;799;230;38;39;whistle;20
368;0;789;228;46;41;cassette;10
369;0;798;229;37;40;web_site;17
370;0;798;229;37;41;web_site;17
371;0;799;225;38;45;hand-held_computer;20
372;0;789;225;49;50;thresher;29
373;0;797;226;42;45;thresher;79
374;0;797;228;41;43;thresher;80
375;0;799;227;41;44;thresher;39
376;0;799;225;41;46;thresher;43
377;0;799;229;39;41;thresher;70
378;0;798;227;40;45;thresher;83
379;0;796;227;39;45;thresher;84
380;0;796;227;38;45;thresher;69
381;0;797;231;38;40;thresher;44
382;0;798;229;36;42;thresher;86
383;0;798;230;39;43;thresher;60
384;0;799;231;36;40;thresher;65
385;0;800;230;36;41;thresher;76
386;0;800;231;36;41;thresher;78
387;0;801;230;37;42;thresher;78
388;0;802;231;37;40;thresher;65
389;0;802;231;36;42;thresher;27
390;0;804;229;35;43;thresher;77
393;0;805;228;34;45;thresher;72
394;0;805;232;31;41;thresher;51
395;0;805;232;23;41;thresher;69
396;0;807;229;27;43;can_opener;30
397;0;806;232;28;42;thresher;42
398;0;807;229;27;45;thresher;51
400;0;809;232;24;42;thresher;47
402;0;809;232;26;42;thresher;62
405;0;811;237;24;36;thresher;22
410;0;814;232;23;39;thresher;53
422;0;817;232;21;45;can_opener;19
430;0;545;232;29;51;bulletproof_vest;19
432;0;547;232;28;48;milk_can;50
433;0;547;232;27;56;whistle;32
434;0;548;232;28;58;bulletproof_vest;17
435;0;548;232;29;58;whistle;34
436;0;549;232;29;49;milk_can;63
437;0;549;232;29;64;can_opener;19
439;0;550;233;29;50;milk_can;39
440;0;549;232;31;67;milk_can;12
447;0;552;232;26;62;milk_can;22
518;0;1262;662;18;58;vine_snake;24
519;0;1248;627;32;93;vine_snake;39
520;0;1233;609;47;111;vine_snake;50
521;0;1220;600;60;120;lighter;16
522;0;1189;588;91;132;can_opener;15
523;0;1181;583;99;137;can_opener;12
524;0;1167;579;113;141;lighter;11
525;0;1153;575;127;145;lighter;11
526;0;1139;571;141;145;lighter;15
526;1;1187;584;85;59;vine_snake;19
527;0;1125;566;155;145;golfcart;20
527;1;1173;580;85;59;vine_snake;18
528;0;1111;559;169;148;golfcart;29
528;1;1159;576;85;59;vine_snake;20
529;0;1098;553;182;151;golfcart;21
